Date of observation,RV double m/s
1998-01-16,-19.2
1998-11-03,-12.4
1999-07-25,32.0
1999-08-20,6.0
1999-10-21,-11.9
1999-12-12,6.4
1999-12-13,-5.7
2000-05-18,36.4
2000-07-17,34.5
2000-07-19,37.0
2000-08-10,4.2
2000-08-11,11.1
2000-10-10,-9.4
2000-11-07,-33.0
2000-11-07,-4.0
2001-01-08,6.5
2001-05-31,31.9
2001-07-01,17.7
2001-07-02,2.3
2001-08-05,-11.8
2001-08-06,-3.1
2001-08-08,-26.7
2001-08-29,-20.9
2001-08-30,-14.1
2001-09-01,-28.5
2001-10-04,-14.1
2001-10-05,-16.8
2001-10-06,-30.4
2001-10-07,-20.9
2002-05-28,7.1
2002-05-30,-9.7
2002-06-30,-30.4
2002-07-21,-23.6
2002-08-24,-18.2
2003-01-14,3.7
2003-05-24,-13.5
2003-08-05,-23.2
2003-08-09,-30.0
2003-11-02,-26.7
2004-01-02,-12.2
2004-02-05,20.8
2004-02-06,11.3
2004-07-28,-56.6
2004-08-25,-49.4
2004-08-26,-57.0
2004-08-28,-51.5
2004-10-02,-52.4
2005-05-18,-44.6
2005-05-25,-50.1
2005-07-18,-68.5
2005-07-24,-59.7
2005-07-27,-55.9
2005-09-18,-92.3
